"datasetName","decimalLongitude","decimalLatitude","basisOfRecord","scientificName"
"gbif",150.94664,-23.17223,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.82388,-23.247218,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.048566,-22.130907,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.050068,-22.132318,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.772147,-23.020431,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.385042,-23.955547,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.38858,-23.957944,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.384629,-23.955192,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.946717,-23.171997,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.401127,-23.96476,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.406503,-23.967802,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.820663,-23.234848,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.392074,-23.960652,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.818939,-23.227749,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.95042,-23.1894,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.945081,-23.172086,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.96677,-23.15652,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.05004,-22.132384,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.94328,-23.17177,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.050288,-22.13257,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.944528,-23.171917,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.823997,-23.246423,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.935649,-23.177208,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.77458,-23.00334,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.936308,-23.181071,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.824457,-23.243388,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.824069,-23.2455,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.77142,-23.0566,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.95542,-23.16546,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.819798,-23.233563,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.94537,-23.17214,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.05024,-22.13251,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.820339,-23.234983,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.819262,-23.230653,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.824133,-23.244982,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.77589,-22.99557,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.936886,-23.182875,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.94433,-23.17199,"HUMAN_OBSERVATION","Natator depressus"
"gbif",152.15289,-32.72363,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.824029,-23.244976,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.818896,-23.226335,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.947933,-23.172312,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.819069,-23.22963,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.819733,-23.232022,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.94153,-23.171296,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.383233,-23.875655,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.819368,-23.226164,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.791924,-23.191684,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.824171,-23.244787,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.0503,-22.132778,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.820484,-23.235648,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.574499,-34.858031,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.375556,-23.946667,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.38422,-23.875184,"HUMAN_OBSERVATION","Natator depressus"
"gbif",118.758633,-20.205816,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.942275,-23.171468,"HUMAN_OBSERVATION","Natator depressus"
"gbif",146.818622,-19.253122,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.948121,-23.190556,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.79163,-23.17309,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.774159,-23.005898,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.75022,-23.1147,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.791061,-23.168681,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.380161,-23.951314,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.819636,-23.232922,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.377252,-23.880349,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.832667,-33.981427,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.384365,-23.95481,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.385143,-23.87487,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.935886,-23.177003,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.766304,-23.152918,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.37652,-23.94758,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.951405,-23.171618,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.390908,-23.959592,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.87999,-23.047887,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.804916,-33.630109,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.79155,-23.173281,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.824216,-23.244455,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.389542,-23.958959,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.825396,-23.24037,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.73492,-34.023999,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.818832,-23.228944,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.402242,-23.964925,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.82383,-23.24647,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.819083,-23.228551,"HUMAN_OBSERVATION","Natator depressus"
"gbif",148.232505,-35.32075,"HUMAN_OBSERVATION","Natator depressus"
"gbif",152.893086,-31.454902,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.819587,-23.231485,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.819307,-23.232203,"HUMAN_OBSERVATION","Natator depressus"
